#Tempo    Entrada    Saída
0.090000    -319.310547     319.310547
0.090500    -320.724243     320.724243
0.091000    -321.937531     321.937531
0.091500    -322.949585     322.949585
0.092000    -323.759796     323.759796
0.092500    -324.367706     324.367706
0.093000    -324.772858     324.772858
0.093500    -324.975067     324.975067
0.094000    -324.974152     324.974152
0.094500    -324.770142     324.770142
0.095000    -324.363190     324.363190
0.095500    -323.753510     323.753510
0.096000    -322.941467     322.941467
0.096500    -321.927612     321.927612
0.097000    -320.712585     320.712585
0.097500    -319.297089     319.297089
0.098000    -317.682068     317.682068
0.098500    -315.868500     315.868500
0.099000    -313.857513     313.857513
0.099500    -311.650391     311.650391
0.100000    -309.248474     309.248474
0.100500    -306.653320     306.653320
0.101000    -303.866486     303.866486
0.101500    -300.889771     300.889771
0.102000    -297.725006     297.725006
0.102500    -294.374146     294.374146
0.103000    -290.839355     290.839355
0.103500    -287.122772     287.122772
0.104000    -283.226746     283.226746
0.104500    -279.153717     279.153717
0.105000    -274.906219     274.906219
0.105500    -270.486908     270.486908
0.106000    -265.898560     265.898560
0.106500    -261.144043     261.144043
0.107000    -256.226318     256.226318
0.107500    -251.148453     251.148453
0.108000    -245.913635     245.913635
0.108500    -240.525131     240.525131
0.109000    -234.986298     234.986298
0.109500    -229.300613     229.300613
0.110000    -223.471603     223.471603
0.110500    -217.502960     217.502960
0.111000    -211.398361     211.398361
0.111500    -205.161652     205.161652
0.112000    -198.796738     198.796738
0.112500    -192.307556     192.307556
0.113000    -185.698212     185.698212
0.113500    -178.972809     178.972809
0.114000    -172.135544     172.135544
0.114500    -165.190704     165.190704
0.115000    -158.142624     158.142624
0.115500    -150.995712     150.995712
0.116000    -143.754425     143.754425
0.116500    -136.423309     136.423309
0.117000    -129.006927     129.006927
0.117500    -121.509918     121.509918
0.118000    -113.936966     113.936966
0.118500    -106.292816     106.292816
0.119000    -98.582230     98.582230
0.119500    -90.810036     90.810036
0.120000    -82.981087     82.981087
0.120500    -75.100281     75.100281
0.121000    -67.172539     67.172539
0.121500    -59.202812     59.202812
0.122000    -51.196091     51.196091
0.122500    -43.157372     43.157372
0.123000    -35.091679     35.091679
0.123500    -27.004055     27.004055
0.124000    -18.899557     18.899557
0.124500    -10.783245     10.783245
0.125000    -2.660195     2.660195
0.125500    5.464518     5.464518
0.126000    13.585815     13.585815
0.126500    21.698622     21.698622
0.127000    29.797869     29.797869
0.127500    37.878490     37.878490
0.128000    45.935444     45.935444
0.128500    53.963684     53.963684
0.129000    61.958202     61.958202
0.129500    69.913994     69.913994
0.130000    77.826096     77.826096
0.130500    85.689560     85.689560
0.131000    93.499466     93.499466
0.131500    101.250946     101.250946
0.132000    108.939140     108.939140
0.132500    116.559250     116.559250
0.133000    124.106522     124.106522
0.133500    131.576218     131.576218
0.134000    138.963699     138.963699
0.134500    146.264328     146.264328
0.135000    153.473541     153.473541
0.135500    160.586838     160.586838
0.136000    167.599777     167.599777
0.136500    174.507965     174.507965
0.137000    181.307098     181.307098
0.137500    187.992920     187.992920
0.138000    194.561249     194.561249
0.138500    201.007996     201.007996
0.139000    207.329102     207.329102
0.139500    213.520645     213.520645
0.140000    219.578735     219.578735
0.140500    225.499603     225.499603
0.141000    231.279541     231.279541
0.141500    236.914932     236.914932
0.142000    242.402267     242.402267
0.142500    247.738098     247.738098
0.143000    252.919113     252.919113
0.143500    257.942047     257.942047
0.144000    262.803802     262.803802
0.144500    267.501282     267.501282
0.145000    272.031586     272.031586
0.145500    276.391907     276.391907
0.146000    280.579468     280.579468
0.146500    284.591675     284.591675
0.147000    288.426025     288.426025
0.147500    292.080139     292.080139
0.148000    295.551697     295.551697
0.148500    298.838531     298.838531
0.149000    301.938599     301.938599
0.149500    304.850006     304.850006
0.150000    307.570862     307.570862
0.150500    310.099487     310.099487
0.151000    312.434326     312.434326
0.151500    314.573883     314.573883
0.152000    316.516876     316.516876
0.152500    318.262024     318.262024
0.153000    319.808289     319.808289
0.153500    321.154663     321.154663
0.154000    322.300354     322.300354
0.154500    323.244598     323.244598
0.155000    323.986847     323.986847
0.155500    324.526581     324.526581
0.156000    324.863525     324.863525
0.156500    324.997437     324.997437
0.157000    324.928223     324.928223
0.157500    324.655945     324.655945
0.158000    324.180756     324.180756
0.158500    323.502991     323.502991
0.159000    322.623016     322.623016
0.159500    321.541443     321.541443
0.160000    320.258881     320.258881
0.160500    318.776184     318.776184
0.161000    317.094269     317.094269
0.161500    315.214203     315.214203
0.162000    313.137085     313.137085
0.162500    310.864319     310.864319
0.163000    308.397247     308.397247
0.163500    305.737427     305.737427
0.164000    302.886536     302.886536
0.164500    299.846375     299.846375
0.165000    296.618805     296.618805
0.165500    293.205841     293.205841
